"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"472","","","A11","C","","00:00:00:01","00:00:04:00","01:08:21:04","01:08:25:03","Audio Process Stream","","00:00:00:00","00:00:04:00","00:00:04:00","","25.000","","","","",""
"473","","","V1","C","","00:00:00:00","00:00:04:17","01:08:24:17","01:08:29:09","Normandie Will Not Sail Tonight 01","","00:00:00:00","00:00:05:00","00:00:05:00","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"474","","","A11","C","","00:00:00:01","00:00:00:24","01:08:25:16","01:08:26:14","Audio Process Stream","","00:00:00:00","00:00:00:24","00:00:00:24","","25.000","","","","",""
"475","","","A11","C","","00:00:00:01","00:00:01:21","01:08:26:14","01:08:28:09","Audio Process Stream","","00:00:00:00","00:00:01:21","00:00:01:21","","25.000","","","","",""
"476","","","V1","C","","00:00:00:00","00:00:04:24","01:08:29:09","01:08:34:08","FDR Normandie Will Not Sail Tonight 01","","00:00:00:00","00:00:05:00","00:00:05:00","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"477","","","A3","C","","00:00:42:08","00:00:51:00","01:08:31:14","01:08:40:06","14-Seagulls-harbour atms","","00:00:00:00","00:03:02:08","00:03:02:08","","25.000","","","","",""
"478","","","A5","C","","00:00:08:01","00:00:12:01","01:08:31:14","01:08:35:14","9-08 Old Telephone Bell Ring, Six Rings","","00:00:00:00","00:00:30:15","00:00:30:15","","25.000","","","","",""
"479","","","V1","C","0","00:00:04:24","00:00:04:24","01:08:34:08","01:08:34:18","FDR Normandie Will Not Sail Tonight 01","","00:00:00:00","00:00:05:00","00:00:05:00","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"M2","","","","","0.0","00:00:04:24","","","","","","","","","","","","","","",""
"480","","","A5","D","25","01:08:34:14","01:08:35:14","01:08:34:14","01:08:35:14","Cross Fade 0 dB","","","","","","0.000","","","","",""
"481","","","V1","C","21.3238","00:23:45:01","00:23:47:09","01:08:34:18","01:08:37:11","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"M2","","","","","21.3","00:23:45:01","","","","","","","","","","","","","","",""
"482","","","V1","C","","00:22:47:15","00:22:50:10","01:08:37:11","01:08:40:06","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"483","","","A11","C","","00:00:00:01","00:00:03:21","01:08:38:11","01:08:42:06","Audio Process Stream","","00:00:00:00","00:00:03:21","00:00:03:21","","25.000","","","","",""
"484","","","A9","C","","00:00:00:00","00:00:36:18","01:08:38:24","01:09:15:17","Ghost Ship 03","","00:00:00:00","00:02:51:19","00:02:51:19","","25.000","","Green","","",""
"485","","","A5","C","","00:00:17:17","00:00:20:24","01:08:40:02","01:08:43:09","9-12 Old Telephone Dial Number Slow, Hang Up","","00:00:00:00","00:00:20:24","00:00:20:24","","25.000","","","","",""
"486","","","V1","C","","00:23:10:08","00:23:13:06","01:08:40:06","01:08:43:04","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"487","","","A4","C","","00:00:57:20","00:01:05:05","01:08:40:06","01:08:47:16","20 Harbour Environment Muffled Engine Sounds - Close Hornblast","","00:00:00:00","00:02:28:04","00:02:28:04","","25.000","","","","",""
"488","","","A11","C","","00:00:00:01","00:00:03:23","01:08:42:21","01:08:46:18","Audio Process Stream","","00:00:00:00","00:00:03:23","00:00:03:23","","25.000","","","","",""
"489","","","V1","C","","00:22:56:12","00:22:58:21","01:08:43:04","01:08:45:13","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"490","","","V1","C","","00:22:59:24","00:23:02:02","01:08:45:13","01:08:47:16","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"491","","","V1","C","","00:00:00:21","00:00:04:23","01:08:47:16","01:08:51:18","Ports Alternatifs 05","","00:00:00:00","00:00:05:00","00:00:05:00","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"492","","","A5","C","","00:00:18:08","00:00:22:10","01:08:47:16","01:08:51:18","9-51 Old Office Teletype 2","","00:00:00:00","00:00:33:08","00:00:33:08","","25.000","","","","",""
"493","","","A3","C","","01:00:00:12","01:00:05:05","01:08:51:13","01:08:56:06","Hit 06 Drum Roll","","01:00:00:12","01:00:05:06","00:00:04:18","","25.000","","","","",""
"494","","","V1","C","","00:00:51:12","00:00:53:14","01:08:51:18","01:08:53:20","gettyimages-640455512-640_adpp","","00:00:00:00","00:00:57:14","00:00:57:14","H.264","23.976","640x360","","","",""
"495","","X","V6","C","","00:00:04:24","00:00:04:24","01:08:51:18","01:09:15:17","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"496","","","A1","C","","00:01:13:04","00:01:19:02","01:08:51:18","01:08:57:17","gettyimages-640457718-640_adpp","","00:00:00:00","00:01:46:16","00:01:46:16","H.264","23.976","","","","",""
"497","","","A4","C","","00:00:27:03","00:00:33:02","01:08:51:18","01:08:57:17","39 Typewriter - Manual - Write - Paper Out - Office","","00:00:00:00","00:00:58:08","00:00:58:08","","25.000","","","","",""
"498","","","A5","C","","00:00:08:04","00:00:11:22","01:08:51:18","01:08:55:11","9-05 Old Telephone Bell Ring, Five Rings","","00:00:00:00","00:00:24:22","00:00:24:22","","25.000","","","","",""
"499","","","A11","C","","00:00:00:01","00:00:02:13","01:08:52:24","01:08:55:11","Audio Process Stream","","00:00:00:00","00:00:02:13","00:00:02:13","","25.000","","","","",""
"500","","","V1","C","","00:01:38:07","00:01:39:21","01:08:53:20","01:08:55:10","gettyimages-640457718-640_adpp","","00:00:00:00","00:01:46:16","00:01:46:16","H.264","23.976","640x360","","","",""
"501","","","V1","C","","00:01:06:05","00:01:08:11","01:08:55:10","01:08:57:17","gettyimages-640457718-640_adpp","","00:00:00:00","00:01:46:16","00:01:46:16","H.264","23.976","640x360","","","",""
"502","","","A3","C","","01:00:00:12","01:00:06:24","01:08:56:11","01:09:02:23","Hit 01 Boom","","01:00:00:12","01:00:07:00","00:00:06:12","","25.000","","","","",""
"503","","","A11","C","","00:00:00:01","00:00:03:03","01:08:57:01","01:09:00:03","Audio Process Stream","","00:00:00:00","00:00:03:03","00:00:03:03","","25.000","","","","",""
"504","","","V1","C","","00:00:10:04","00:00:11:18","01:08:57:17","01:08:59:07","gettyimages-640453280-640_adpp","","00:00:00:00","00:00:43:01","00:00:43:01","H.264","23.976","640x360","","","",""
"505","","","A4","C","","00:00:12:15","00:00:20:00","01:08:57:17","01:09:05:02","4-02 Crowd, Church Small Crowd Filing Into Church 2","","00:00:00:00","00:00:39:21","00:00:39:21","","25.000","","","","",""
"506","","","V1","C","","00:00:40:19","00:00:42:17","01:08:59:07","01:09:01:05","gettyimages-640453280-640_adpp","","00:00:00:00","00:00:43:01","00:00:43:01","H.264","23.976","640x360","","","",""
"507","","","A1","C","","00:00:45:05","00:00:49:06","01:09:01:00","01:09:05:02","gettyimages-619550044-640_adpp","","00:00:00:00","00:01:14:06","00:01:14:06","H.264","23.976","","Yellow","","",""
"508","","","A1","D","25","01:09:01:00","01:09:02:00","01:09:01:00","01:09:02:00","Cross Fade 0 dB","","","","","","0.000","","","","",""
"509","","","V1","C","19.2321","00:00:32:02","00:00:33:14","01:09:01:05","01:09:03:04","gettyimages-640453280-640_adpp","","00:00:00:00","00:00:43:01","00:00:43:01","H.264","23.976","640x360","","","",""
"M2","","","","","19.2","00:00:32:02","","","","","","","","","","","","","","",""
"510","","","V1","C","","00:00:27:01","00:00:28:23","01:09:03:04","01:09:05:02","gettyimages-640453280-640_adpp","","00:00:00:00","00:00:43:01","00:00:43:01","H.264","23.976","640x360","","","",""
"511","","","V1","C","","00:00:49:05","00:00:51:15","01:09:05:02","01:09:07:12","gettyimages-619550044-640_adpp","","00:00:00:00","00:01:14:06","00:01:14:06","H.264","23.976","640x360","Yellow","","",""
"512","","","A1","C","","00:00:49:13","00:00:52:14","01:09:05:02","01:09:08:03","gettyimages-619550044-640_adpp","","00:00:00:00","00:01:14:06","00:01:14:06","H.264","23.976","","Yellow","","",""
"513","","","V1","C","","00:04:51:10","00:04:52:16","01:09:07:12","01:09:08:18","250096-03","","00:00:00:00","00:09:25:20","00:09:25:20","H.264","25.000","720x540","Green","","",""
"514","","","A3","C","","00:00:09:10","00:00:18:11","01:09:07:12","01:09:16:13","29-20 Harbour,City Shipyard Rumble,Seagulls,Boat Horns","","00:00:00:00","00:02:02:17","00:02:02:17","","25.000","","","","",""
"515","","","V1","C","","00:00:36:14","00:00:37:16","01:09:08:18","01:09:09:20","BF541 1940s Liner Arrives In New York, Normandie Docked, Other ships could be the same ship?","","00:00:00:00","00:01:24:06","00:01:24:06","H.264","29.970","432x324","","","",""
"516","nhf-1318_0022","","V1","C","","00:04:08;22","00:04:10;00","01:09:09:20","01:09:11:02","1318.0022 New York World's Fair, Harvard-Army Game, 1939--Samuel B. Horovitz--home movies. Reel 22","","00:00:00;00","00:15:06;01","00:15:06;01","H.264","29.970 DF","480x360","","","",""
"517","","","V1","C","21.9383","00:00:42:00","00:00:43:05","01:09:11:02","01:09:12:11","BF541 1940s Liner Arrives In New York, Normandie Docked, Other ships could be the same ship?","","00:00:00:00","00:01:24:06","00:01:24:06","H.264","29.970","432x324","","","",""
"M2","","","","","21.9","00:00:42:00","","","","","","","","","","","","","","",""
"518","","","A11","C","","00:00:00:00","00:00:04:02","01:09:11:14","01:09:15:17","VO 200604 (D)-05","","00:00:00:00","00:00:20:22","00:00:20:22","","25.000","","","","",""
"519","nhf-1318_0022","","V1","C","","00:04:27;03","00:04:28;08","01:09:12:11","01:09:13:16","1318.0022 New York World's Fair, Harvard-Army Game, 1939--Samuel B. Horovitz--home movies. Reel 22","","00:00:00;00","00:15:06;01","00:15:06;01","H.264","29.970 DF","480x360","","","",""
"520","nhf-1318_0022","","V1","C","","00:03:47;04","00:03:48;08","01:09:13:16","01:09:14:19","1318.0022 New York World's Fair, Harvard-Army Game, 1939--Samuel B. Horovitz--home movies. Reel 22","","00:00:00;00","00:15:06;01","00:15:06;01","H.264","29.970 DF","480x360","","","",""
"521","","","V1","C","15.4111","00:01:08:27","00:01:09:13","01:09:14:19","01:09:15:17","BF541 1940s Liner Arrives In New York, Normandie Docked, Other ships could be the same ship?","","00:00:00:00","00:01:24:06","00:01:24:06","H.264","29.970","432x324","","","",""
"M2","","","","","15.4","00:01:08:27","","","","","","","","","","","","","","",""
"522","nhf-1318_0022","","V4","C","","00:03:51;26","00:03:52;24","01:09:14:19","01:09:15:17","1318.0022 New York World's Fair, Harvard-Army Game, 1939--Samuel B. Horovitz--home movies. Reel 22","","00:00:00;00","00:15:06;01","00:15:06;01","H.264","29.970 DF","480x360","","","",""
"523","","","V1","C","15.4111","00:01:09:13","00:01:09:29","01:09:15:17","01:09:16:13","BF541 1940s Liner Arrives In New York, Normandie Docked, Other ships could be the same ship?","","00:00:00:00","00:01:24:06","00:01:24:06","H.264","29.970","432x324","","","",""
"M2","","","","","15.4","00:01:09:13","","","","","","","","","","","","","","",""
"524","nhf-1318_0022","","V4","C","","00:03:52;24","00:03:53;19","01:09:15:17","01:09:16:13","1318.0022 New York World's Fair, Harvard-Army Game, 1939--Samuel B. Horovitz--home movies. Reel 22","","00:00:00;00","00:15:06;01","00:15:06;01","H.264","29.970 DF","480x360","","","",""
"525","","X","V6","C","","00:00:04:24","00:00:04:24","01:09:15:17","01:09:54:18","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"526","","","A9","C","","00:00:36:18","00:02:09:19","01:09:15:17","01:10:48:18","Ghost Ship 03","","00:00:00:00","00:02:51:19","00:02:51:19","","25.000","","Green","","",""
"527","","","V1","C","","00:03:37:26","00:03:39:22","01:09:16:13","01:09:18:10","26-3","","00:00:00:00","00:15:24:05","00:15:24:05","H.264","29.970","720x544","Cocoa","","",""
"528","","","A5","C","","00:00:18:11","00:00:21:05","01:09:16:13","01:09:19:07","43 Radio,Tuning Tuning Across Dial Of Old Radio","","00:00:00:00","00:00:35:16","00:00:35:16","","25.000","","","","",""
"529","","","A6","C","","00:00:05:00","00:00:08:05","01:09:16:13","01:09:19:18","1-38 Airport, Control Twr Air Traffic Control_ Two Way Radio Communications, Control Tower","","00:00:00:00","00:01:08:01","00:01:08:01","","25.000","","","","",""
"530","","","A11","C","","00:00:04:09","00:00:14:04","01:09:17:00","01:09:26:21","VO 200604 (D)-05","","00:00:00:00","00:00:20:22","00:00:20:22","","25.000","","","","",""
"531","nhf-1318_0022","","V4","C","","00:04:41;02","00:04:41;21","01:09:17:12","01:09:18:03","1318.0022 New York World's Fair, Harvard-Army Game, 1939--Samuel B. Horovitz--home movies. Reel 22","","00:00:00;00","00:15:06;01","00:15:06;01","H.264","29.970 DF","480x360","","","",""
"532","nhf-1318_0022","","V4","C","","00:04:22;22","00:04:23;13","01:09:18:03","01:09:18:20","1318.0022 New York World's Fair, Harvard-Army Game, 1939--Samuel B. Horovitz--home movies. Reel 22","","00:00:00;00","00:15:06;01","00:15:06;01","H.264","29.970 DF","480x360","","","",""
"533","","","V1","C","","00:03:32:08","00:03:33:17","01:09:18:10","01:09:19:18","26-3","","00:00:00:00","00:15:24:05","00:15:24:05","H.264","29.970","720x544","Cocoa","","",""
"534","","","V1","C","","00:03:21:20","00:03:24:24","01:09:19:18","01:09:22:22","26-3","","00:00:00:00","00:15:24:05","00:15:24:05","H.264","29.970","720x544","Cocoa","","",""
"535","","","A3","C","","00:01:34:20","00:01:37:24","01:09:19:18","01:09:22:22","10-03 Harbour, Marina (Small Marina_ General Ambience_ Light Boats Water Lapping Loons Marine)","","00:00:00:00","00:03:01:10","00:03:01:10","","25.000","","","","",""
"536","","","V1","C","","00:01:33:11","00:01:34:21","01:09:22:22","01:09:24:07","250176-07","","00:00:00:00","00:08:23:09","00:08:23:09","H.264","25.000","720x540","Green","","",""
"537","","","A3","C","","00:00:33:19","00:00:37:16","01:09:22:22","01:09:26:19","67 Office Environment - American - Medium Calm","","00:00:00:00","00:02:28:17","00:02:28:17","","25.000","","","","",""
"538","","","V4","C","","00:00:49:18","00:00:51:18","01:09:23:05","01:09:25:05","After The Blue Riband (1935)","","00:00:00:00","00:00:58:00","00:00:58:00","H.264","25.000","352x264","","","",""
"539","","","V1","C","","00:02:07:17","00:02:08:22","01:09:24:07","01:09:25:12","220418-05","","00:00:00:00","00:08:14:11","00:08:14:11","H.264","25.000","720x540","Green","","",""
"540","","","V1","C","","00:02:10:10","00:02:11:17","01:09:25:12","01:09:26:19","220418-05","","00:00:00:00","00:08:14:11","00:08:14:11","H.264","25.000","720x540","Green","","",""
"541","","","V1","C","","00:00:29:02","00:00:30:07","01:09:26:19","01:09:27:24","gettyimages-529308016-640_adpp","","00:00:00:00","00:00:43:05","00:00:43:05","H.264","23.976","640x360","","","",""
"542","","","A5","C","","00:00:09:00","00:00:10:05","01:09:26:19","01:09:27:24","18-46 Flash Pot Small Powder Flash","","00:00:00:00","00:00:16:04","00:00:16:04","","25.000","","","","",""
"543","","","A6","C","","00:00:00:00","00:00:00:12","01:09:26:19","01:09:27:06","Camera 2","","00:00:00:00","00:00:00:21","00:00:00:21","","25.000","","","","",""
"544","","","A2","C","","01:00:00:12","01:00:06:24","01:09:27:00","01:09:33:12","Hit 01 Boom","","01:00:00:12","01:00:07:00","00:00:06:12","","25.000","","","","",""
"545","","","V1","C","","00:00:06:19","00:00:08:01","01:09:27:24","01:09:29:06","gettyimages-640459964-640_adpp","","00:00:00:00","00:00:59:15","00:00:59:15","H.264","23.976","640x360","","","",""
"546","","","A11","C","","00:00:14:11","00:00:20:22","01:09:28:12","01:09:34:23","VO 200604 (D)-05","","00:00:00:00","00:00:20:22","00:00:20:22","","25.000","","","","",""
"547","","","V1","C","","00:00:04:22","00:00:06:01","01:09:29:06","01:09:30:10","gettyimages-509126197-640_adpp","","00:00:00:00","00:00:07:09","00:00:07:09","H.264","25.000","480x360","","","",""
"548","","","V1","C","","00:00:04:23","00:00:06:05","01:09:30:10","01:09:31:17","gettyimages-509457805-640_adpp","","00:00:00:00","00:00:25:06","00:00:25:06","H.264","25.000","480x360","","","",""
"549","","","V1","C","","00:00:13:00","00:00:15:04","01:09:31:17","01:09:33:21","gettyimages-509091917-640_adpp","","00:00:00:00","00:00:24:16","00:00:24:16","H.264","29.970","480x360","","","",""
"550","","","V1","C","","00:00:22:07","00:00:23:14","01:09:33:21","01:09:35:02","gettyimages-509091917-640_adpp","","00:00:00:00","00:00:24:16","00:00:24:16","H.264","29.970","480x360","","","",""
"551","","","V1","C","18.3533","00:00:17:19","00:00:18:29","01:09:35:02","01:09:36:22","gettyimages-509091917-640_adpp","","00:00:00:00","00:00:24:16","00:00:24:16","H.264","29.970","480x360","","","",""
"M2","","","","","18.4","00:00:17:19","","","","","","","","","","","","","","",""
"552","","","V1","C","","00:00:18:52","00:00:20:37","01:09:36:22","01:09:38:16","200-MTT-217a","","00:00:00:00","00:09:44:47","00:09:44:47","H.264","60.000","720x480","Cocoa","","",""
"553","","","A11","C","","00:00:00:01","00:00:02:13","01:09:36:24","01:09:39:11","Audio Process Stream","","00:00:00:00","00:00:02:13","00:00:02:13","","25.000","","","","",""
"554","","","V1","C","","00:03:00:15","00:03:01:39","01:09:38:16","01:09:40:01","200-MTT-217a","","00:00:00:00","00:09:44:47","00:09:44:47","H.264","60.000","720x480","Cocoa","","",""
"555","","","A11","C","","00:00:00:01","00:00:01:09","01:09:39:11","01:09:40:19","Audio Process Stream","","00:00:00:00","00:00:01:09","00:00:01:09","","25.000","","","","",""
"556","","","V1","C","","00:03:50:02","00:03:52:09","01:09:40:01","01:09:42:04","200-MTT-217a","","00:00:00:00","00:09:44:47","00:09:44:47","H.264","60.000","720x480","Cocoa","","",""
"557","","","A11","C","","00:00:00:01","00:00:01:18","01:09:40:19","01:09:42:11","Audio Process Stream","","00:00:00:00","00:00:01:18","00:00:01:18","","25.000","","","","",""
"558","","","V1","C","","00:06:59:57","00:07:02:54","01:09:42:04","01:09:45:03","200-MTT-217a","","00:00:00:00","00:09:44:47","00:09:44:47","H.264","60.000","720x480","Cocoa","","",""
"559","","","A11","C","","00:00:00:01","00:00:03:19","01:09:44:02","01:09:47:20","Audio Process Stream","","00:00:00:00","00:00:03:19","00:00:03:19","","25.000","","","","",""
"560","","","V1","C","","00:02:30:48","00:02:33:00","01:09:45:03","01:09:47:08","200-MTT-217a","","00:00:00:00","00:09:44:47","00:09:44:47","H.264","60.000","720x480","Cocoa","","",""
"561","","","V1","C","","00:04:14:11","00:04:16:23","01:09:47:08","01:09:49:13","200-MTT-217a","","00:00:00:00","00:09:44:47","00:09:44:47","H.264","60.000","720x480","Cocoa","","",""
"562","","","A11","C","","00:00:00:01","00:00:04:22","01:09:48:20","01:09:53:16","Audio Process Stream","","00:00:00:00","00:00:04:22","00:00:04:22","","25.000","","","","",""
"563","","","V1","C","","00:05:05:22","00:05:07:58","01:09:49:13","01:09:52:03","200-MTT-217a","","00:00:00:00","00:09:44:47","00:09:44:47","H.264","60.000","720x480","Cocoa","","",""
"564","","","V1","C","","00:02:45:57","00:02:48:33","01:09:52:03","01:09:54:18","200-MTT-217a","","00:00:00:00","00:09:44:47","00:09:44:47","H.264","60.000","720x480","Cocoa","","",""
"565","","","A3","C","","01:00:00:12","01:00:05:05","01:09:54:13","01:09:59:06","Hit 06 Drum Roll","","01:00:00:12","01:00:05:06","00:00:04:18","","25.000","","","","",""
"566","","","V1","C","18","00:01:33:28","00:01:40:01","01:09:54:18","01:10:03:05","FDR Morgenthau Churchill FV4121_RG601568.01.01","","00:00:00:00","00:12:11:17","00:12:11:17","H.264","29.970","640x480","","","",""
"M2","","","","","18.0","00:01:33:28","","","","","","","","","","","","","","",""
"567","","","A11","C","","00:00:00:01","00:00:06:01","01:09:55:17","01:10:01:17","Audio Process Stream","","00:00:00:00","00:00:06:01","00:00:06:01","","25.000","","","","",""
"568","","","V1","C","","00:03:44:15","00:03:46:53","01:10:03:05","01:10:05:21","200-MTT-217a","","00:00:00:00","00:09:44:47","00:09:44:47","H.264","60.000","720x480","Cocoa","","",""
"569","","X","V6","C","","00:00:04:24","00:00:04:24","01:10:03:05","01:10:05:21","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"570","","","V1","C","","00:00:00:00","00:00:04:19","01:10:05:21","01:10:10:15","Morgenthau 02b","","00:00:00:00","00:00:04:20","00:00:04:20","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"571","","","A11","C","","00:00:00:01","00:00:04:11","01:10:06:02","01:10:10:12","Audio Process Stream","","00:00:00:00","00:00:04:11","00:00:04:11","","25.000","","","","",""
"572","","","A11","C","","00:00:00:01","00:00:01:09","01:10:10:12","01:10:11:20","Audio Process Stream","","00:00:00:00","00:00:01:09","00:00:01:09","","25.000","","","","",""
"573","","","V1","C","","00:00:00:00","00:00:05:00","01:10:10:15","01:10:15:15","Morgenthau 04","","00:00:00:00","00:00:06:00","00:00:06:00","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"574","","","A11","C","","00:00:00:01","00:00:02:14","01:10:11:20","01:10:14:08","Audio Process Stream","","00:00:00:00","00:00:02:14","00:00:02:14","","25.000","","","","",""
"575","","","V1","C","","00:00:07:02","00:00:09:20","01:10:15:15","01:10:18:08","gettyimages-mr_00051242-640_adpp","","00:00:00:00","00:01:05:00","00:01:05:00","H.264","25.000","480x360","","","",""
"576","","X","V6","C","","00:00:04:24","00:00:04:24","01:10:15:15","01:10:23:06","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"577","","","A3","C","","00:02:23:08","00:02:29:21","01:10:15:15","01:10:22:03","1-18 Crowd, Outdoor (Medium Crowd_ General Ambience Voices Footsteps)","","00:00:00:00","00:03:02:19","00:03:02:19","","25.000","","","","",""
"578","","","A11","C","","00:00:00:01","00:00:04:23","01:10:15:23","01:10:20:20","Audio Process Stream","","00:00:00:00","00:00:04:23","00:00:04:23","","25.000","","","","",""
"579","","","V1","C","","00:00:27:08","00:00:31:03","01:10:18:08","01:10:22:03","gettyimages-mr_00051242-640_adpp","","00:00:00:00","00:01:05:00","00:01:05:00","H.264","25.000","480x360","","","",""
"580","","","V1","C","","00:00:20:13","00:00:22:04","01:10:22:03","01:10:23:21","Morgenthau HistoricFilms_VM-1473_00.09.58-00.10.57","","00:00:00:00","00:01:04:28","00:01:04:28","H.264","29.970","480x360","","","",""
"581","","","A5","C","","00:00:30:15","00:00:42:00","01:10:22:03","01:10:33:13","Typewriter Manual","","00:00:00:00","00:00:43:23","00:00:43:23","","25.000","","","","",""
"582","","","A11","C","","00:00:00:01","00:00:03:04","01:10:22:08","01:10:25:11","Audio Process Stream","","00:00:00:00","00:00:10:01","00:00:10:01","","25.000","","","","",""
"583","","","V1","C","0","00:00:00:00","00:00:00:00","01:10:23:21","01:10:26:18","Henry Morgenthau 3","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","1000x775","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"584","","","A11","C","","00:00:03:14","00:00:08:01","01:10:25:11","01:10:29:23","Audio Process Stream","","00:00:00:00","00:00:10:01","00:00:10:01","","25.000","","","","",""
"585","","","V1","C","","00:00:00:00","00:00:03:23","01:10:26:18","01:10:30:16","Doynel National Treasure 01","","00:00:00:00","00:00:04:00","00:00:04:00","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"586","","","A11","C","","01:10:23:16","01:10:25:24","01:10:30:03","01:10:32:11","FL_capture_2020-07-30_0858_T0020_C00001","","01:10:22:14","01:10:28:04","00:00:05:15","","25.000","","","","",""
"587","","","V1","C","18","00:11:16:25","00:11:18:27","01:10:30:16","01:10:33:13","FDR Morgenthau Churchill FV4121_RG601568.01.01","","00:00:00:00","00:12:11:17","00:12:11:17","H.264","29.970","640x480","","","",""
"M2","","","","","18.0","00:11:16:25","","","","","","","","","","","","","","",""
"588","","X","V6","C","","00:00:04:24","00:00:04:24","01:10:30:16","01:10:48:18","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"589","","","V1","C","18","00:07:27:00","00:07:29:09","01:10:33:13","01:10:36:18","FDR Morgenthau Churchill FV4121_RG601568.01.01","","00:00:00:00","00:12:11:17","00:12:11:17","H.264","29.970","640x480","","","",""
"M2","","","","","18.0","00:07:27:00","","","","","","","","","","","","","","",""
"590","","","A3","C","","00:01:23:23","00:01:39:03","01:10:33:13","01:10:48:18","6-01 Park, City (Afternoon Ambience_ Birds Crickets Playground)","","00:00:00:00","00:03:03:02","00:03:03:02","","25.000","","","","",""
"591","","","A11","C","","00:00:00:01","00:00:03:17","01:10:34:04","01:10:37:20","Audio Process Stream","","00:00:00:00","00:00:03:17","00:00:03:17","","25.000","","","","",""
"592","","","V1","C","18","00:07:44:21","00:07:47:12","01:10:36:18","01:10:40:12","FDR Morgenthau Churchill FV4121_RG601568.01.01","","00:00:00:00","00:12:11:17","00:12:11:17","H.264","29.970","640x480","","","",""
"M2","","","","","18.0","00:07:44:21","","","","","","","","","","","","","","",""
"593","","","A11","C","","00:00:00:01","00:00:01:05","01:10:39:01","01:10:40:05","Audio Process Stream","","00:00:00:00","00:00:01:05","00:00:01:05","","25.000","","","","",""
"594","","","A11","C","","00:00:00:01","00:00:01:17","01:10:40:05","01:10:41:21","Audio Process Stream","","00:00:00:00","00:00:01:17","00:00:01:17","","25.000","","","","",""
"595","","","V1","C","18","00:09:08:11","00:09:14:09","01:10:40:12","01:10:48:18","FDR Morgenthau Churchill FV4121_RG601568.01.01","","00:00:00:00","00:12:11:17","00:12:11:17","H.264","29.970","640x480","","","",""
"M2","","","","","18.0","00:09:08:11","","","","","","","","","","","","","","",""
"596","","","A11","C","","00:00:00:01","00:00:02:20","01:10:43:02","01:10:45:21","Audio Process Stream","","00:00:00:00","00:00:02:20","00:00:02:20","","25.000","","","","",""
"597","","","A9","D","25","01:10:48:05","01:10:49:05","01:10:48:05","01:10:49:05","Cross Fade 0 dB","","","","","","0.000","","","","",""
"598","","","V1","C","","00:00:00:00","00:00:06:22","01:10:48:18","01:10:55:15","Normandie Immobilisé devant tours 01","","00:00:00:00","00:00:08:00","00:00:08:00","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"599","","","A3","C","","00:01:38:10","00:01:45:07","01:10:48:18","01:10:55:15","10-04 Harbour, Port (Large Port_ General Ambience_ Ship Horns Seagulls Etc.)","","00:00:00:00","00:03:03:24","00:03:03:24","","25.000","","","","",""
"600","","","A3","D","25","01:10:48:18","01:10:49:18","01:10:48:18","01:10:49:18","Cross Fade 0 dB","","","","","","0.000","","","","",""
"601","","","A4","C","","00:00:42:12","00:00:49:09","01:10:48:18","01:10:55:15","Water-Ocean-Pier-01","","00:00:00:00","00:01:32:22","00:01:32:22","","25.000","","","","",""
"602","","","A4","D","25","01:10:48:18","01:10:49:18","01:10:48:18","01:10:49:18","Cross Fade 0 dB","","","","","","0.000","","","","",""
"603","","","A9","C","","00:02:36:20","00:02:51:19","01:10:48:18","01:11:03:17","Ghost Ship 03","","00:00:00:00","00:02:51:19","00:02:51:19","","25.000","","Green","","",""
