"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"32","","","A11","C","","00:00:04:02","00:00:11:24","01:00:17:24","01:00:25:21","VO 200604 (D)","","00:00:00:00","00:00:11:24","00:00:11:24","","25.000","","Blue","","",""
"33","","","V1","C","18","00:05:19:19","00:05:26:03","01:00:21:01","01:00:29:23","Normandie (Le) (1935)","","00:00:00:00","00:14:04:23","00:14:04:23","H.264","25.000","720x576","Green","","",""
"M2","","","","","18.0","00:05:19:19","","","","","","","","","","","","","","",""
"34","","X","V6","C","","00:00:04:24","00:00:04:24","01:00:21:01","01:01:22:20","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"35","","","A5","C","","00:00:04:05","00:00:39:13","01:00:25:21","01:01:01:04","Wind-4","","00:00:00:00","00:00:59:21","00:00:59:21","","25.000","","","","",""
"36","","","A5","D","125","01:00:25:21","01:00:30:21","01:00:25:21","01:00:30:21","Cross Fade 0 dB","","","","","","0.000","","","","",""
"37","","","A9","C","","00:00:00:06","00:00:57:05","01:00:25:21","01:01:22:20","KAP_014_14_Carnaval_des_Animaux_Aquarium_Camille_Saint_Saens_Saint_Saens_925787","","00:00:00:00","00:02:22:11","00:02:22:11","","25.000","","","","",""
"38","","","A3","D","54","01:00:28:17","01:00:30:21","01:00:28:17","01:00:30:21","Cross Fade 0 dB","","","","","","0.000","","","","",""
"39","","","A4","D","53","01:00:28:17","01:00:30:21","01:00:28:17","01:00:30:21","Cross Fade 0 dB","","","","","","0.000","","","","",""
"40","","","V1","C","","00:00:13:08","00:00:17:09","01:00:29:23","01:00:33:24","'Normandie's' record | AP Archive (1935)","","00:00:00:00","00:01:28:00","00:01:28:00","H.264","25.000","640x360","","","",""
"41","","","A7","C","","00:00:04:02","00:00:54:12","01:00:29:23","01:01:20:08","Water-Ocean-3","","00:00:00:00","00:01:07:04","00:01:07:04","","25.000","","","","",""
"42","","","V1","C","","00:02:38:08","00:02:51:24","01:00:33:24","01:00:47:15","Gaumont Pathé Archives - 3525GJ 00001 - FRANCE. SUR L'OCEAN","","00:00:00:00","00:04:12:12","00:04:12:12","H.264","25.000","640x480","Green","","",""
"43","","","V2","C","","00:00:29:14","00:00:43:05","01:00:33:24","01:00:47:15","Ina MEDIAPRO - Le paquebot Normandie AFE08001130","","00:00:00:00","00:01:50:00","00:01:50:00","H.264","25.000","512x384","","","",""
"44","","X","V4","C","","00:00:00:00","00:00:04:09","01:00:33:24","01:00:39:05","Fusion Title","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"45","","","V4","D","25","01:00:33:24","01:00:34:24","01:00:33:24","01:00:34:24","Cross Dissolve","","","","","","0.000","","","","",""
"46","","","V4","D","25","01:00:38:05","01:00:39:05","01:00:38:05","01:00:39:05","Cross Dissolve","","","","","","0.000","","","","",""
"47","","","A11","C","","00:00:00:01","00:00:08:09","01:00:40:12","01:00:48:20","Audio Process Stream","","00:00:00:00","00:00:08:09","00:00:08:09","","25.000","","","","",""
"48","","","V1","C","17.6799","00:00:00:00","00:00:03:16","01:00:47:15","01:00:52:20","814599820","","00:00:00:00","00:00:12:12","00:00:12:12","H.264","23.976","640x360","Green","","",""
"M2","","","","","17.7","00:00:00:00","","","","","","","","","","","","","","",""
"49","","","V1","C","18","00:04:05:00","00:04:11:01","01:00:52:20","01:01:01:04","P-212-60","","00:00:00:00","00:10:19:22","00:10:19:22","H.264","23.976","720x540","Green","","",""
"M2","","","","","18.0","00:04:05:00","","","","","","","","","","","","","","",""
"50","","","A11","C","","00:00:00:01","00:00:04:06","01:00:53:05","01:00:57:10","Audio Process Stream","","00:00:00:00","00:00:11:11","00:00:11:11","","25.000","","","","",""
"51","","","A11","C","","00:00:07:03","00:00:11:11","01:00:57:10","01:01:01:18","Audio Process Stream","","00:00:00:00","00:00:11:11","00:00:11:11","","25.000","","","","",""
"52","","","A5","D","25","01:01:00:16","01:01:01:16","01:01:00:16","01:01:01:16","Cross Fade 0 dB","","","","","","0.000","","","","",""
"53","","","V1","C","","00:03:11:05","00:03:14:22","01:01:01:04","01:01:04:21","Gaumont Pathé Archives - TRA 1 - A BORD DE NORMANDIE","","00:00:00:00","00:09:38:08","00:09:38:08","H.264","25.000","640x486","Green","","",""
"54","","","A5","C","","00:00:10:02","00:00:31:18","01:01:01:04","01:01:22:20","Wind-4","","00:00:00:00","00:00:59:21","00:00:59:21","","25.000","","","","",""
"55","","","A6","C","","00:00:54:19","00:01:01:21","01:01:01:04","01:01:08:06","14-Seagulls-harbour atms","","00:00:00:00","00:03:02:08","00:03:02:08","","25.000","","","","",""
"56","","","V1","C","","00:31:51:20","00:31:54:20","01:01:04:21","01:01:07:21","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"57","","","A1","C","","00:31:52:17","00:31:55:06","01:01:05:18","01:01:08:07","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","","Green","","",""
"58","","","A1","D","25","01:01:05:18","01:01:06:18","01:01:05:18","01:01:06:18","Cross Fade 0 dB","","","","","","0.000","","","","",""
"59","","","A1","D","25","01:01:07:07","01:01:08:07","01:01:07:07","01:01:08:07","Cross Fade 0 dB","","","","","","0.000","","","","",""
"60","","","V1","C","21.8818","00:00:06:20","00:00:14:13","01:01:07:21","01:01:16:16","450042036","","00:00:00:00","00:00:32:01","00:00:32:01","H.264","23.976","640x360","Green","","",""
"M2","","","","","21.9","00:00:06:20","","","","","","","","","","","","","","",""
"61","","","A11","C","","00:00:00:01","00:00:06:07","01:01:09:00","01:01:15:06","Audio Process Stream","","00:00:00:00","00:00:06:07","00:00:06:07","","25.000","","","","",""
"62","","","V1","C","","00:33:35:10","00:33:41:14","01:01:16:16","01:01:22:20","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"63","","X","V4","C","","00:00:00:00","00:00:04:15","01:01:17:08","01:01:22:20","Fusion Title","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"64","","","V4","D","25","01:01:17:08","01:01:18:08","01:01:17:08","01:01:18:08","Cross Dissolve","","","","","","0.000","","","","",""
"65","","","A7","C","","00:00:02:16","00:00:03:16","01:01:22:11","01:01:23:11","18-46 Flash Pot Small Powder Flash","","00:00:00:00","00:00:16:04","00:00:16:04","","25.000","","","","",""
"66","","","A10","C","","01:00:00:12","01:00:00:17","01:01:22:15","01:01:22:20","Hit 06 Drum Roll","","01:00:00:12","01:00:05:06","00:00:04:18","","25.000","","","","",""
"67","","","A8","C","","00:00:00:00","00:00:00:21","01:01:22:17","01:01:23:13","Camera 2","","00:00:00:00","00:00:00:21","00:00:00:21","","25.000","","","","",""
"68","","","V1","C","0","00:00:00:00","00:00:00:00","01:01:22:20","01:01:23:13","2016.85.2.329P02H","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","3962x4069","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"69","","","V1","D","2","01:01:22:20","01:01:22:22","01:01:22:20","01:01:22:22","Dip To Color Dissolve","","","","","","0.000","","","","",""
"70","","","A9","C","","00:00:00:05","00:00:54:22","01:01:22:20","01:02:17:12","Désertions 01","","00:00:00:00","00:01:09:13","00:01:09:13","","25.000","","","","",""
"71","","","A10","C","","01:00:00:17","01:00:05:06","01:01:22:20","01:01:27:08","Hit 06 Drum Roll","","01:00:00:12","01:00:05:06","00:00:04:18","","25.000","","","","",""
"72","","","A5","C","","00:00:05:17","00:00:06:23","01:01:23:04","01:01:24:10","18-46 Flash Pot Small Powder Flash","","00:00:00:00","00:00:16:04","00:00:16:04","","25.000","","","","",""
"73","","","A6","C","","00:00:00:00","00:00:00:21","01:01:23:12","01:01:24:08","Camera 2","","00:00:00:00","00:00:00:21","00:00:00:21","","25.000","","","","",""
"74","","","V1","C","0","00:00:00:00","00:00:00:00","01:01:23:13","01:01:24:03","FL007501_ibp","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","800x536","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"75","","","V1","D","2","01:01:23:13","01:01:23:15","01:01:23:13","01:01:23:15","Dip To Color Dissolve","","","","","","0.000","","","","",""
"76","","","A1","C","","00:33:24:15","00:33:29:13","01:01:23:19","01:01:28:17","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","","Green","","",""
"77","","","A7","C","","00:00:08:24","00:00:10:00","01:01:23:23","01:01:24:24","18-46 Flash Pot Small Powder Flash","","00:00:00:00","00:00:16:04","00:00:16:04","","25.000","","","","",""
"78","","","A8","C","","00:00:00:00","00:00:00:21","01:01:24:02","01:01:24:23","Camera 2","","00:00:00:00","00:00:00:21","00:00:00:21","","25.000","","","","",""
"79","","","V1","C","0","00:00:00:00","00:00:00:00","01:01:24:03","01:01:24:19","2019-12-15-0007 (1935-03-20)","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","5609x4241","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"80","","","V1","D","2","01:01:24:03","01:01:24:05","01:01:24:03","01:01:24:05","Dip To Color Dissolve","","","","","","0.000","","","","",""
"81","","","A5","C","","00:00:08:24","00:00:09:23","01:01:24:15","01:01:25:14","18-46 Flash Pot Small Powder Flash","","00:00:00:00","00:00:16:04","00:00:16:04","","25.000","","","","",""
"82","","","V1","C","0","00:00:00:00","00:00:00:00","01:01:24:19","01:01:25:14","MNY67823 1935-06-01","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","682x550","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"83","","","V1","D","2","01:01:24:19","01:01:24:21","01:01:24:19","01:01:24:21","Dip To Color Dissolve","","","","","","0.000","","","","",""
"84","","","A6","C","","00:00:00:00","00:00:00:21","01:01:24:19","01:01:25:15","Camera 2","","00:00:00:00","00:00:00:21","00:00:00:21","","25.000","","","","",""
"85","","","V1","C","","00:00:32:10","00:00:32:19","01:01:25:14","01:01:25:24","Rio-NY avec Normandie 1 Cintel 00000741","","00:00:30:21","00:13:26:09","00:12:55:12","DNxHR HQ","24.000","1920x1080","","","",""
"86","","X","V6","C","","00:00:04:24","00:00:04:24","01:01:25:14","01:03:28:03","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"87","","","A3","C","","00:00:02:23","00:00:07:04","01:01:25:14","01:01:29:20","79 Projector, Film","","00:00:00:00","00:00:11:00","00:00:11:00","","25.000","","","","",""
